code,prob,close,date,name
601111,0.6023705705298136,5.88,2026-08-24,中国国航
002602,0.5930522163492928,13.79,2026-08-24,世纪华通
600039,0.5900584091961442,8.55,2026-08-24,四川路桥
601998,0.5738521384741888,8.56,2026-08-24,中信银行
000001,0.5683195629501381,11.56,2026-08-24,平安银行
601877,0.5655488652760136,26.22,2026-08-24,正泰电器
002625,0.5599244420551722,27.82,2026-08-24,光启技术
688303,0.5520097637937417,17.63,2026-08-24,大全能源
601868,0.5496208242183009,2.5,2026-08-24,中国能建
000408,0.5459855306724525,77.4,2026-08-24,藏格矿业
600522,0.5442946890389772,32.53,2026-08-24,中天科技
603501,0.5430480491141001,82.5,2026-08-24,豪威集团
600886,0.5404704393835218,13.94,2026-08-24,国投电力
601211,0.5145981793513554,17.64,2026-08-24,国泰海通
600309,0.5124532337457733,73.19,2026-08-24,万华化学
688126,0.5110461909532298,24.73,2026-08-24,沪硅产业
603993,0.5108214159043849,18.99,2026-08-24,洛阳钼业
601006,0.5069716004970065,4.7,2026-08-24,大秦铁路
601607,0.5058851552786074,16.19,2026-08-24,上海医药
000617,0.5049722549931244,7.15,2026-08-24,中油资本
601728,0.5028916873011569,6.47,2026-08-24,中国电信
002352,0.4994005880565667,32.94,2026-08-24,顺丰控股
601336,0.49776802073132376,59.43,2026-08-24,新华保险
002837,0.49069785263277593,54.75,2026-08-24,英维克
603369,0.48814773637211967,27.78,2026-08-24,今世缘
600160,0.485656803503512,37.82,2026-08-24,巨化股份
000100,0.48552905148788156,4.92,2026-08-24,TCL科技
688271,0.47951177098671877,105.4,2026-08-24,联影医疗
603288,0.46838256732232747,35.67,2026-08-24,海天味业
600415,0.4679254500777417,12.3,2026-08-24,小商品城
601898,0.467887181549521,14.81,2026-08-24,中煤能源
002001,0.46563846155480254,26.32,2026-08-24,新和成
605499,0.4639439279955417,120.99,2026-08-24,东鹏饮料
002241,0.4607415963141834,23.48,2026-08-24,歌尔股份
002466,0.4512398438872759,49.1,2026-08-24,天齐锂业
002415,0.44923440332514913,34.15,2026-08-24,海康威视
300832,0.44017399500257176,51.47,2026-08-24,新产业
002920,0.43078522556786264,86.59,2026-08-24,德赛西威
000776,0.42403926806052855,20.64,2026-08-24,广发证券
600061,0.42118907108126313,6.26,2026-08-24,国投资本
600196,0.4209067290832165,22.79,2026-08-24,复星医药
300450,0.41826208717869723,33.84,2026-08-24,先导智能
002558,0.41410364783160786,26.66,2026-08-24,巨人网络
601698,0.41378655808066767,23.76,2026-08-24,中国卫通
601658,0.4108103739006697,5.04,2026-08-24,邮储银行
601872,0.4072592918691106,19.0,2026-08-24,招商轮船
600031,0.4028194279040456,18.61,2026-08-24,三一重工
300750,0.40114475105441044,387.89,2026-08-24,宁德时代
603986,0.39772478746457934,381.66,2026-08-24,兆易创新
600999,0.3933223662994076,17.86,2026-08-24,招商证券
600118,0.38244391150026397,59.4,2026-08-24,中国卫星
