code,date,close,prob,name,group
002466,2026-08-26,47.56,0.48251440289811215,天齐锂业,hold
603259,2026-08-26,159.25,0.4823614726176895,药明康德,hold
600415,2026-08-26,12.31,0.4823614726176895,小商品城,hold
300251,2026-08-26,10.91,0.4823614726176895,光线传媒,hold
601818,2026-08-26,3.09,0.4823517579168838,光大银行,hold
601800,2026-08-26,6.02,0.48196100535243624,中国交建,hold
601788,2026-08-26,14.57,0.48176597346906225,光大证券,hold
601006,2026-08-26,4.79,0.48169524460955687,大秦铁路,hold
601377,2026-08-26,5.93,0.48149385215464324,兴业证券,hold
601390,2026-08-26,4.46,0.4814120631162342,中国中铁,hold
688506,2026-08-26,269.18,0.48139331119770745,百利天恒,hold
600887,2026-08-26,26.1,0.48126140441930926,伊利股份,hold
000975,2026-08-26,27.37,0.48119052246688804,山金国际,hold
300450,2026-08-26,33.6,0.48102108049608594,先导智能,hold
688303,2026-08-26,17.61,0.48075280294079764,大全能源,hold
603019,2026-08-26,84.25,0.48008040528313894,中科曙光,hold
601600,2026-08-26,9.59,0.47969612921025884,中国铝业,hold
000568,2026-08-26,82.72,0.47912410770156993,泸州老窖,hold
688183,2026-08-26,106.45,0.478217426798361,生益电子,hold
600372,2026-08-26,10.96,0.47792148554471753,中航机载,hold
600809,2026-08-26,117.09,0.4766342712497829,山西汾酒,hold
601689,2026-08-26,46.6,0.4754893572719736,拓普集团,hold
601898,2026-08-26,14.59,0.47548586855412855,中煤能源,hold
300832,2026-08-26,51.55,0.4754519926045167,新产业,hold
001391,2026-08-26,4.16,0.47535396634088745,国货航,hold
601601,2026-08-26,31.98,0.475193439578989,中国太保,hold
300413,2026-08-26,14.11,0.47507278959793625,芒果超媒,hold
688126,2026-08-26,24.25,0.4744893542216204,沪硅产业,hold
601901,2026-08-26,6.82,0.4743649500891335,方正证券,hold
600660,2026-08-26,57.2,0.4742215169110465,福耀玻璃,hold
600276,2026-08-26,46.74,0.47363253609572925,恒瑞医药,hold
002558,2026-08-26,26.58,0.47286911992918346,巨人网络,hold
002202,2026-08-26,18.61,0.47230404250913993,金风科技,hold
600010,2026-08-26,2.26,0.47199878427499725,包钢股份,hold
601088,2026-08-26,47.26,0.4710188924205345,中国神华,hold
600016,2026-08-26,3.52,0.4704746605643002,民生银行,hold
300316,2026-08-26,43.47,0.4701981439974432,晶盛机电,hold
002714,2026-08-26,39.99,0.46913265921364405,牧原股份,hold
600011,2026-08-26,6.73,0.4687176955364559,华能国际,hold
688271,2026-08-26,105.8,0.46829310607753205,联影医疗,hold
603369,2026-08-26,28.1,0.468007818727675,今世缘,hold
601229,2026-08-26,9.72,0.4678627563978612,上海银行,hold
601012,2026-08-26,12.28,0.46784665275936443,隆基绿能,hold
000425,2026-08-26,8.0,0.46769712942301184,徐工机械,hold
600760,2026-08-26,44.87,0.46768563182236694,中航沈飞,hold
601117,2026-08-26,7.58,0.4674215436169034,中国化学,hold
600233,2026-08-26,16.95,0.46735499331637786,圆通速递,hold
000963,2026-08-26,27.31,0.46720436549083477,华东医药,hold
002027,2026-08-26,4.98,0.46720322176057405,分众传媒,hold
600999,2026-08-26,18.58,0.467146237111245,招商证券,hold
600027,2026-08-26,4.65,0.4670057300354879,华电国际,hold
600926,2026-08-26,16.8,0.4665721867928778,杭州银行,hold
000792,2026-08-26,28.15,0.46645893033452535,盐湖股份,hold
002142,2026-08-26,34.04,0.46632213375747394,宁波银行,hold
000807,2026-08-26,26.35,0.4662481805846391,云铝股份,hold
001280,2026-08-26,69.27,0.4660721085128427,中国铀业,hold
000002,2026-08-26,3.13,0.4659221585978562,万科A,hold
600066,2026-08-26,30.4,0.4657979030202175,宇通客车,hold
688009,2026-08-26,5.03,0.4654596793813555,中国通号,hold
601136,2026-08-26,14.09,0.4651879624003866,首创证券,hold
600346,2026-08-26,18.29,0.463589660958983,恒力石化,hold
601021,2026-08-26,44.31,0.46309743150979005,春秋航空,hold
603288,2026-08-26,35.93,0.46242550339912136,海天味业,hold
002532,2026-08-26,12.8,0.4622344939009861,天山铝业,hold
000977,2026-08-26,73.79,0.46207533629844166,浪潮信息,hold
603260,2026-08-26,33.79,0.46147512944099295,合盛硅业,hold
601688,2026-08-26,19.14,0.46124885378552694,华泰证券,hold
600438,2026-08-26,12.01,0.4606788248450037,通威股份,hold
003816,2026-08-26,4.14,0.4606272619023916,中国广核,hold
601816,2026-08-26,4.93,0.4599668228931289,京沪高铁,hold
600919,2026-08-26,12.16,0.4595561929540892,江苏银行,hold
300433,2026-08-26,39.02,0.45931299731214126,蓝思科技,hold
300628,2026-08-26,40.28,0.45876866009514233,亿联网络,hold
001979,2026-08-26,7.29,0.4584388173010732,招商蛇口,hold
600875,2026-08-26,25.76,0.4574948552406129,东方电气,hold
601985,2026-08-26,8.92,0.4573714797415122,中国核电,hold
601319,2026-08-26,7.24,0.4570751708676501,中国人保,hold
000776,2026-08-26,21.18,0.4565696201944418,广发证券,hold
603993,2026-08-26,19.59,0.45642675345438694,洛阳钼业,hold
002352,2026-08-26,33.58,0.45625970828966034,顺丰控股,hold
300122,2026-08-26,14.17,0.4561040283617405,智飞生物,hold
600674,2026-08-26,15.69,0.4557048317144755,川投能源,hold
600026,2026-08-26,18.57,0.45522364387948344,中远海能,hold
601888,2026-08-26,53.08,0.4550731336644367,中国中免,hold
600188,2026-08-26,21.6,0.45495688733030215,兖矿能源,hold
600025,2026-08-26,9.76,0.4548411267308258,华能水电,hold
688036,2026-08-26,57.82,0.4545004563819833,传音控股,hold
000625,2026-08-26,7.14,0.45413384941040574,长安汽车,hold
600515,2026-08-26,2.82,0.4539528198097515,海南机场,hold
601009,2026-08-26,11.72,0.4538778746642365,南京银行,hold
600023,2026-08-26,4.95,0.45386146593562415,浙能电力,hold
600549,2026-08-26,52.62,0.4535071603309962,厦门钨业,hold
601059,2026-08-26,16.75,0.45346218986136877,信达证券,hold
601998,2026-08-26,8.65,0.45334943120861443,中信银行,hold
000617,2026-08-26,7.35,0.45241221226900585,中油资本,hold
600547,2026-08-26,34.49,0.4516660787868986,山东黄金,hold
300014,2026-08-26,55.9,0.45148002044345326,亿纬锂能,hold
603799,2026-08-26,39.97,0.4506474910846252,华友钴业,hold
603296,2026-08-26,77.19,0.4505036187695447,华勤技术,hold
300803,2026-08-26,83.18,0.45027998426731114,指南针,hold
002916,2026-08-26,348.03,0.4491830341610942,深南电路,hold
601238,2026-08-26,5.25,0.4489115164403141,广汽集团,hold
600085,2026-08-26,24.45,0.448745993693906,同仁堂,hold
300394,2026-08-26,253.58,0.44787208926071576,天孚通信,hold
600160,2026-08-26,38.15,0.4478513689294148,巨化股份,hold
000858,2026-08-26,71.9,0.4478434228196926,五 粮 液,hold
600019,2026-08-26,5.89,0.4476568281881296,宝钢股份,hold
601916,2026-08-26,2.97,0.44748492575369503,浙商银行,hold
002371,2026-08-26,700.7,0.446640509815488,北方华创,hold
600050,2026-08-26,4.31,0.44660593679415145,中国联通,hold
601728,2026-08-26,6.42,0.44612794874576056,中国电信,hold
601318,2026-08-26,56.13,0.44581575696209286,中国平安,hold
601727,2026-08-26,6.61,0.4452824958172807,上海电气,hold
600570,2026-08-26,21.61,0.4448842716355966,恒生电子,hold
