code,date,close,prob,prob_std,name,group
688008,2026-08-26,201.0,0.4492968056666658,0.029329844791179317,澜起科技,hold
300033,2026-08-26,223.09,0.4477778427748466,0.03881739422685059,同花顺,hold
600066,2026-08-26,30.4,0.44595220924792006,0.03050530350595493,宇通客车,hold
601995,2026-08-26,34.55,0.4456765792226517,0.029631283306599216,中金公司,hold
688183,2026-08-26,106.45,0.4449545720690754,0.047119710173922684,生益电子,hold
002001,2026-08-26,26.46,0.4440935864619581,0.04718027863607767,新和成,hold
601985,2026-08-26,8.92,0.4438362373807772,0.026001888570214095,中国核电,hold
601800,2026-08-26,6.02,0.44273006573019896,0.014256802594871679,中国交建,hold
601336,2026-08-26,60.98,0.4426637567504884,0.032722589546182276,新华保险,hold
300502,2026-08-26,398.78,0.44208771091216775,0.034036344106280404,新易盛,hold
601186,2026-08-26,6.12,0.4416639921507146,0.02451396200765627,中国铁建,hold
601328,2026-08-26,7.17,0.4411173579750917,0.02578716674044362,交通银行,hold
603296,2026-08-26,77.19,0.4401855137492387,0.057777415715373884,华勤技术,hold
601088,2026-08-26,47.26,0.43950278629898115,0.025034333906480397,中国神华,hold
600233,2026-08-26,16.95,0.4393638805845529,0.022232221592988363,圆通速递,hold
601872,2026-08-26,18.38,0.43765104580081593,0.02244747494439987,招商轮船,hold
600600,2026-08-26,51.54,0.4367341007130775,0.028118514807088674,青岛啤酒,hold
601006,2026-08-26,4.79,0.43504359733641745,0.026166598814578883,大秦铁路,hold
601066,2026-08-26,25.27,0.4346210226669567,0.02998794505392702,中信建投,hold
600015,2026-08-26,6.77,0.43384366091557325,0.02608268442663667,华夏银行,hold
002625,2026-08-26,28.07,0.4325365885280266,0.046836174814197586,光启技术,hold
000776,2026-08-26,21.18,0.43220711792025457,0.02333029295591304,广发证券,hold
002352,2026-08-26,33.58,0.43185699116125714,0.015004381309752332,顺丰控股,hold
601319,2026-08-26,7.24,0.4315468373162408,0.025274313322451582,中国人保,hold
601633,2026-08-26,15.42,0.43078407153295933,0.035376807418737694,长城汽车,hold
600085,2026-08-26,24.45,0.43054964109199884,0.03095285835929894,同仁堂,hold
600674,2026-08-26,15.69,0.43021980073536625,0.03100205215155955,川投能源,hold
601919,2026-08-26,16.99,0.43020816365392894,0.03367709364173748,中远海控,hold
688271,2026-08-26,105.8,0.42949691344126967,0.008161961921991525,联影医疗,hold
601318,2026-08-26,56.13,0.4292982470241537,0.04477496593298478,中国平安,hold
600875,2026-08-26,25.76,0.4291965180485198,0.016008483209728492,东方电气,hold
600809,2026-08-26,117.09,0.428554137205936,0.02877277322757205,山西汾酒,hold
601728,2026-08-26,6.42,0.42813184414133676,0.02376737991246589,中国电信,hold
000999,2026-08-26,24.45,0.42784115865391986,0.0318903519731255,华润三九,hold
600039,2026-08-26,8.68,0.42748992335017894,0.0195585584117836,四川路桥,hold
600372,2026-08-26,10.96,0.4274425881988607,0.05307803130702674,中航机载,hold
000157,2026-08-26,7.08,0.42738261508029807,0.06325641851983972,中联重科,hold
600482,2026-08-26,32.09,0.4254904495314488,0.030901801196936064,中国动力,hold
001280,2026-08-26,69.27,0.42511028055989025,0.04405791793363245,中国铀业,hold
601601,2026-08-26,31.98,0.424720556545039,0.02431593205109831,中国太保,hold
688506,2026-08-26,269.18,0.42449347798607906,0.11447352590049022,百利天恒,hold
000425,2026-08-26,8.0,0.423466996081517,0.03949279134250639,徐工机械,hold
601816,2026-08-26,4.93,0.42328752123732605,0.02475110864492377,京沪高铁,hold
001979,2026-08-26,7.29,0.42310894327031445,0.03788456880577317,招商蛇口,hold
603799,2026-08-26,39.97,0.42224481852962237,0.0444629299023245,华友钴业,hold
002049,2026-08-26,61.59,0.4222267086214121,0.031209109556895466,紫光国微,hold
600549,2026-08-26,52.62,0.4212597478681008,0.03282155781100657,厦门钨业,hold
600026,2026-08-26,18.57,0.42108302466250597,0.02394302516455855,中远海能,hold
002422,2026-08-26,43.64,0.42042384951705053,0.021281628938680568,科伦药业,hold
601117,2026-08-26,7.58,0.42022012694684896,0.02320425946971398,中国化学,hold
600919,2026-08-26,12.16,0.41953194203819255,0.02896499266271896,江苏银行,hold
600188,2026-08-26,21.6,0.41947875246968547,0.03207207342586797,兖矿能源,hold
002142,2026-08-26,34.04,0.4183035409434302,0.029163781112001942,宁波银行,hold
002304,2026-08-26,39.91,0.41821108393716105,0.029432299026898,洋河股份,hold
000625,2026-08-26,7.14,0.4179525518204059,0.037198135507411974,长安汽车,hold
002202,2026-08-26,18.61,0.41603919605775275,0.031214898569812115,金风科技,hold
601021,2026-08-26,44.31,0.4141645345015519,0.02488056827409488,春秋航空,hold
300476,2026-08-26,249.44,0.41391792534081556,0.057511088556319985,胜宏科技,hold
600460,2026-08-26,33.07,0.4125896815495492,0.03702819191058317,士兰微,hold
600489,2026-08-26,26.43,0.41212644640221985,0.016572952448768805,中金黄金,hold
300014,2026-08-26,55.9,0.41170398365041505,0.016964791572768412,亿纬锂能,hold
601998,2026-08-26,8.65,0.4103785469529727,0.025482957280842856,中信银行,hold
601018,2026-08-26,3.49,0.4100513820178921,0.0429975140026042,宁波港,hold
601059,2026-08-26,16.75,0.40966332496518604,0.03153141798028104,信达证券,hold
600061,2026-08-26,6.48,0.40804009947180525,0.03775253752356487,国投资本,hold
601868,2026-08-26,2.53,0.4076915173353057,0.022894421012169416,中国能建,hold
000975,2026-08-26,27.37,0.4071970321089554,0.02700097460298236,山金国际,hold
600760,2026-08-26,44.87,0.40688488557690317,0.0486233645366594,中航沈飞,hold
600515,2026-08-26,2.82,0.40671098101183845,0.03478337713830227,海南机场,hold
600036,2026-08-26,39.8,0.4058248423718836,0.029785352201091426,招商银行,hold
601727,2026-08-26,6.61,0.40529045766865884,0.035647704379650466,上海电气,hold
601628,2026-08-26,38.58,0.404955182180652,0.031126379679505472,中国人寿,hold
601878,2026-08-26,9.33,0.4048941384589142,0.017589875950873628,浙商证券,hold
600027,2026-08-26,4.65,0.4046810794824281,0.03801525280082304,华电国际,hold
605499,2026-08-26,121.3,0.404510557325173,0.02969384400238889,东鹏饮料,hold
600918,2026-08-26,5.8,0.403701193011263,0.04379930701616823,中泰证券,hold
601901,2026-08-26,6.82,0.40304997304911155,0.023162225567771835,方正证券,hold
002028,2026-08-26,170.49,0.4024955418222527,0.037437576919987975,思源电气,hold
600025,2026-08-26,9.76,0.4017576533764591,0.023142661428057137,华能水电,hold
000538,2026-08-26,50.25,0.4010798727593227,0.028240446357443477,云南白药,hold
601689,2026-08-26,46.6,0.4009412872284295,0.03018409140001526,拓普集团,hold
600019,2026-08-26,5.89,0.40072384538439937,0.027155744195441818,宝钢股份,hold
002074,2026-08-26,27.89,0.4005087641144942,0.044473371831677405,国轩高科,hold
600111,2026-08-26,40.07,0.40004962200007005,0.023263008439777036,北方稀土,hold
300832,2026-08-26,51.55,0.39968012809519154,0.0307894513206094,新产业,hold
601899,2026-08-26,34.47,0.3987322035403107,0.05201490607164508,紫金矿业,hold
000988,2026-08-26,103.8,0.39805275395481166,0.048096301475818094,华工科技,hold
600346,2026-08-26,18.29,0.3969302781856637,0.018097347340240846,恒力石化,hold
600660,2026-08-26,57.2,0.39589236850734333,0.09030618121866447,福耀玻璃,hold
600584,2026-08-26,73.62,0.3951190141479778,0.022336392736506047,长电科技,hold
002493,2026-08-26,13.76,0.39446902561153585,0.018420506122288387,荣盛石化,hold
601127,2026-08-26,50.61,0.39419225110253414,0.025539257114096253,赛力斯,hold
601916,2026-08-26,2.97,0.39381521401889513,0.024189364648943723,浙商银行,hold
003816,2026-08-26,4.14,0.3925244371952867,0.025173605776230856,中国广核,hold
000338,2026-08-26,27.03,0.3924567874027061,0.03442346462137263,潍柴动力,hold
601360,2026-08-26,8.67,0.3889943550149483,0.04265160108325338,三六零,hold
300124,2026-08-26,61.9,0.38878219290263866,0.0192209121523335,汇川技术,hold
601600,2026-08-26,9.59,0.3878860183200527,0.038251833465983286,中国铝业,hold
000895,2026-08-26,25.07,0.38603893420241064,0.023409075830909266,双汇发展,hold
601169,2026-08-26,5.18,0.384893194483649,0.03208083620366477,北京银行,hold
300059,2026-08-26,19.36,0.38458706154736105,0.04535192300167974,东方财富,hold
601456,2026-08-26,8.88,0.38452211913578366,0.003881802795723953,国联民生,hold
002532,2026-08-26,12.8,0.384013684993846,0.03233843881318969,天山铝业,hold
601888,2026-08-26,53.08,0.3838409177706585,0.022308268685900873,中国中免,hold
600309,2026-08-26,74.49,0.38162331840680547,0.03955029627359296,万华化学,hold
600547,2026-08-26,34.49,0.3807169449430236,0.02927343161724415,山东黄金,hold
