模型容量/正则化扫描 (embargo 口径)
==================================

tech_only + class + horizon 30 + embargo 45
n_estimators=150, lr=0.10, subsample/colsample=0.8

num_leaves  min_child      Rank IC    ICIR    IC>0      SE    期数
7           20             +0.0310  +0.243   65.2%  0.0119   115
7           500            +0.0286  +0.224   63.5%  0.0119   115
15          20             +0.0318  +0.263   61.7%  0.0113   115
15          500            +0.0320  +0.270   60.9%  0.0111   115
31          20             +0.0344  +0.285   63.5%  0.0112   115
31          500            +0.0310  +0.264   61.7%  0.0109   115
63          20             +0.0297  +0.267   62.6%  0.0104   115
63          500            +0.0344  +0.312   67.0%  0.0103   115
