code,date,close,turnover,prob,name,group
688065,2026-09-11,39.86,0.784495,0.49115652917068514,凯赛生物,Q5_buy
600688,2026-09-11,2.85,0.9656550000000002,0.4903809175679328,上海石化,Q5_buy
000683,2026-09-11,5.91,2.30856,0.489392872057524,博源化工,Q5_buy
688200,2026-09-11,349.11,1.8377699999999997,0.48887866005529773,华峰测控,Q5_buy
688385,2026-09-11,52.08,2.378125,0.4880721307310901,复旦微电,Q5_buy
603816,2026-09-11,22.97,0.83779,0.48770395040367137,顾家家居,Q5_buy
000983,2026-09-11,6.74,1.5542799999999999,0.48742782409056945,山西焦煤,Q5_buy
600885,2026-09-11,34.59,0.9076700000000001,0.4872366706808121,宏发股份,Q5_buy
601958,2026-09-11,20.26,1.396965,0.4865861843019803,金钼股份,Q5_buy
601696,2026-09-11,11.3,1.3414199999999998,0.4864952556117499,中银证券,Q5_buy
601179,2026-09-11,12.31,1.45107,0.486485718463376,中国西电,Q5_buy
603379,2026-09-11,53.11,1.07089,0.48647553519316095,三美股份,Q5_buy
002340,2026-09-11,6.24,1.34437,0.48641507318639565,格林美,Q5_buy
603000,2026-09-11,16.43,1.532,0.4863607900442542,人民网,Q5_buy
300223,2026-09-11,128.78,5.87092,0.48630516326011625,君正股份,Q5_buy
603225,2026-09-11,16.93,1.009165,0.48591335787484063,新凤鸣,hold
603486,2026-09-11,51.46,1.0727,0.485907892036901,科沃斯,hold
003031,2026-09-11,118.06,3.4423900000000005,0.48557413609177896,中瓷电子,hold
000785,2026-09-11,2.26,0.8990349999999999,0.48535083789465616,居然智家,hold
000750,2026-09-11,3.68,0.8309899999999999,0.4851261618999239,国海证券,hold
002601,2026-09-11,14.78,0.8600049999999999,0.4846060822420549,龙佰集团,hold
002670,2026-09-11,11.72,2.4011699999999996,0.4842419728653276,国盛证券,hold
002064,2026-09-11,10.0,0.9152899999999999,0.48407984451201524,华峰化学,hold
600298,2026-09-11,41.09,0.990905,0.48393675431495364,安琪酵母,hold
001203,2026-09-11,23.83,1.4686,0.48344278963303433,大中矿业,hold
688498,2026-09-11,1701.0,2.7338899999999997,0.48335829279305714,源杰科技,hold
688563,2026-09-11,55.2,1.4781499999999999,0.48328647208009784,航材股份,hold
300763,2026-09-11,54.8,3.07462,0.48302534606435354,锦浪科技,hold
002078,2026-09-11,14.14,0.8350350000000001,0.4828238696270645,太阳纸业,hold
301377,2026-09-11,390.3,3.0780950000000002,0.4825795522069382,鼎泰高科,hold
603129,2026-09-11,289.5,0.8483299999999996,0.4824185840945334,春风动力,hold
601156,2026-09-11,18.9,0.96387,0.48199346497267237,东航物流,hold
002402,2026-09-11,17.95,2.5409750000000004,0.48199280827036034,和而泰,hold
600871,2026-09-11,2.24,1.124085,0.481976542314417,石化油服,hold
000830,2026-09-11,12.02,1.8239699999999999,0.48146455141623457,鲁西化工,hold
603160,2026-09-11,50.62,1.114715,0.48131487242581017,汇顶科技,hold
002335,2026-09-11,28.97,2.47775,0.48086959129436485,科华数据,hold
002126,2026-09-11,38.77,2.101225,0.480198928969144,银轮股份,hold
002244,2026-09-11,8.01,1.389755,0.4801077127323643,滨江集团,hold
300003,2026-09-11,11.18,1.29758,0.48006974049594503,乐普医疗,hold
002410,2026-09-11,8.23,1.59977,0.48004348169921224,广联达,hold
688213,2026-09-11,92.53,1.64668,0.4794556722581843,思特威,hold
688234,2026-09-11,94.9,2.082,0.4793624956246921,天岳先进,hold
000932,2026-09-11,3.52,1.189975,0.4791914693366932,华菱钢铁,hold
601615,2026-09-11,9.66,1.9706800000000002,0.4791077385076203,明阳智能,hold
600583,2026-09-11,5.99,1.0721399999999999,0.47867625739037006,海油工程,hold
688608,2026-09-11,92.37,1.614525,0.4782926853188486,恒玄科技,hold
688235,2026-09-11,247.3,3.484715,0.4782169495772258,百济神州,hold
601997,2026-09-11,5.62,1.61661,0.47763760352868834,贵阳银行,hold
600754,2026-09-11,19.11,1.545105,0.4770751285847312,锦江酒店,hold
603650,2026-09-11,63.25,2.766755000000001,0.47698545162733774,彤程新材,hold
688777,2026-09-11,83.99,1.568915,0.4769078587720919,中控技术,hold
601198,2026-09-11,13.14,0.851275,0.4767283345471952,东兴证券,hold
688278,2026-09-11,52.05,1.117845,0.47580106469975436,特宝生物,hold
000559,2026-09-11,10.41,0.885715,0.4756994699677578,万向钱潮,hold
300627,2026-09-11,26.78,1.140725,0.4752992046473632,华测导航,hold
001221,2026-09-11,35.59,4.871345,0.4751229653738319,悍高集团,hold
688114,2026-09-11,54.32,2.593175,0.4750953451055735,华大智造,hold
601162,2026-09-11,3.61,1.9526700000000001,0.4746728086349154,天风证券,hold
603606,2026-09-11,35.65,1.755135,0.4744445071227125,东方电缆,hold
688297,2026-09-11,44.53,1.45747,0.474151654244966,中无人机,hold
688331,2026-09-11,114.72,1.96831,0.4739500800472392,荣昌生物,hold
600157,2026-09-11,1.55,1.6797049999999998,0.47390860936304136,永泰能源,hold
000893,2026-09-11,41.8,2.124625,0.47367819136059147,亚钾国际,hold
300146,2026-09-11,9.29,1.052,0.47362236796083595,汤臣倍健,hold
603444,2026-09-11,375.2,2.33016,0.4736127169775963,吉比特,hold
603341,2026-09-11,35.11,3.5846849999999995,0.47302367791947625,龙旗科技,hold
300024,2026-09-11,13.15,1.8325900000000002,0.4730034225190074,机器人,hold
002812,2026-09-11,47.17,2.09985,0.472847816793759,恩捷股份,hold
688709,2026-09-11,23.35,1.7480449999999998,0.47268797608198976,成都华微,hold
002262,2026-09-11,21.44,1.0853949999999999,0.47258877053964227,恩华药业,hold
